TIME,CURRENCY,USD_PRICE,USD_NET_REVENUE
2023-07-25T14:26:08Z,USD,19.9900000000,21.4900000000
2023-07-25T14:26:08Z,USD,19.9900000000,21.4900000000
2023-07-25T14:26:08Z,USD,11.9900000000,12.8900000000
2023-07-25T17:47:17Z,USD,64.9900000000,70.3500000000
2023-07-26T02:06:09Z,EUR,110.4900000000,110.4900000000
2023-07-26T07:49:00Z,GBP,245.2900000000,245.2900000000
2023-07-26T09:48:50Z,USD,299.9900000000,329.6100000000
2023-07-26T10:13:27Z,USD,199.9900000000,213.2400000000
2023-07-26T10:13:27Z,USD,14.9900000000,0.0000000000
2023-07-26T10:32:17Z,USD,299.9900000000,328.4900000000
2023-07-26T10:48:51Z,EUR,365.0600000000,365.0600000000
2023-07-26T11:56:00Z,USD,299.9900000000,329.2400000000
2023-07-26T11:56:00Z,USD,199.9900000000,0.0000000000
2023-07-26T11:56:00Z,USD,64.9900000000,71.3200000000
2023-07-26T12:14:43Z,USD,199.9900000000,215.5900000000
2023-07-26T13:29:51Z,GBP,9.0200000000,9.0200000000
2023-07-26T16:37:33Z,CAD,45.3900000000,102.5800000000
2023-07-26T16:37:33Z,CAD,21.1800000000,23.9300000000
2023-07-26T17:05:12Z,USD,179.9900000000,197.0900000000
2023-07-26T18:57:35Z,USD,179.9900000000,190.7900000000
2023-07-26T18:57:35Z,USD,299.9900000000,317.9900000000
2023-07-26T18:57:35Z,USD,299.9900000000,317.9900000000
2023-07-26T18:57:35Z,USD,199.9900000000,211.9900000000
2023-07-26T21:23:05Z,USD,269.9600000000,586.3600000000
2023-07-26T21:23:05Z,USD,11.9900000000,13.0100000000
2023-07-27T00:03:25Z,EUR,55.3800000000,55.3800000000
2023-07-27T01:17:46Z,EUR,55.3800000000,110.7600000000
2023-07-27T01:18:25Z,EUR,55.3800000000,110.7600000000
2023-07-27T01:24:18Z,EUR,55.3800000000,110.7600000000
2023-07-27T03:22:30Z,EUR,55.3800000000,110.7600000000
2023-07-27T04:26:12Z,EUR,55.3800000000,55.3800000000
2023-07-27T04:56:58Z,EUR,55.3800000000,110.7600000000
2023-07-27T06:14:40Z,EUR,55.6800000000,55.6800000000
2023-07-27T06:18:36Z,EUR,55.6800000000,111.3600000000
2023-07-27T07:05:29Z,EUR,55.6800000000,111.3600000000
2023-07-27T08:41:41Z,USD,299.9900000000,315.3800000000
2023-07-27T08:51:53Z,USD,169.9900000000,185.4600000000
2023-07-27T08:51:53Z,USD,149.9900000000,163.6400000000
2023-07-27T08:51:53Z,USD,14.9900000000,0.0000000000
2023-07-27T09:14:28Z,EUR,55.6800000000,111.3600000000
2023-07-27T09:43:46Z,USD,199.9900000000,211.9900000000
2023-07-27T09:43:46Z,USD,19.9900000000,0.0000000000
2023-07-27T10:27:20Z,USD,199.9900000000,435.4800000000
2023-07-27T10:27:20Z,USD,14.9900000000,0.0000000000
2023-07-27T10:27:20Z,USD,199.9900000000,435.4800000000
2023-07-27T10:54:10Z,EUR,189.3500000000,189.3500000000
2023-07-27T10:54:10Z,EUR,89.1000000000,89.1000000000
2023-07-27T11:09:08Z,USD,199.9900000000,426.4800000000
2023-07-27T13:18:11Z,USD,79.9900000000,86.7700000000
2023-07-27T14:54:46Z,USD,299.9900000000,324.7400000000
2023-07-27T16:01:56Z,USD,299.9900000000,323.9900000000
2023-07-27T18:35:01Z,EUR,384.2300000000,384.2300000000
2023-07-27T20:07:59Z,USD,169.9900000000,180.1900000000
2023-07-27T20:13:53Z,USD,169.9900000000,180.1900000000
2023-07-28T01:28:53Z,EUR,54.8800000000,109.7600000000
2023-07-28T04:19:17Z,EUR,32.9200000000,32.9200000000
2023-07-28T04:19:17Z,EUR,43.9000000000,43.9000000000
2023-07-28T04:19:17Z,EUR,109.7700000000,109.7700000000
2023-07-28T12:07:30Z,USD,99.9900000000,99.9900000000
2023-07-28T14:21:09Z,EUR,363.3100000000,363.3100000000
2023-07-28T14:34:18Z,USD,49.9900000000,26.0100000000
2023-07-28T14:34:18Z,USD,199.9900000000,103.9900000000
2023-07-28T16:29:15Z,USD,179.9900000000,192.1400000000
2023-07-28T23:52:02Z,USD,149.9900000000,158.2400000000
2023-07-28T23:52:02Z,USD,149.9900000000,158.2400000000
2023-07-29T04:01:39Z,USD,299.9900000000,329.2400000000
2023-07-29T04:01:39Z,USD,39.9900000000,43.8900000000
2023-07-29T04:01:39Z,USD,39.9900000000,43.8900000000
2023-07-29T06:02:15Z,EUR,364.0300000000,364.0300000000
2023-07-29T08:01:21Z,USD,299.9900000000,635.9800000000
2023-07-29T09:50:01Z,USD,199.9900000000,219.9900000000
2023-07-29T10:19:34Z,EUR,253.7100000000,253.7100000000
2023-07-29T10:19:34Z,EUR,22.0500000000,0.0000000000
2023-07-29T12:58:05Z,USD,179.9900000000,0.0000000000
2023-07-29T16:09:27Z,EUR,364.0300000000,364.0300000000
2023-07-29T18:05:19Z,USD,199.9900000000,213.9900000000
2023-07-29T18:05:19Z,USD,19.9900000000,0.0000000000
2023-07-30T08:59:31Z,EUR,33.1000000000,33.1000000000
2023-07-30T08:59:31Z,EUR,44.1300000000,44.1300000000
2023-07-30T09:05:11Z,USD,269.9600000000,292.2300000000
2023-07-30T15:15:00Z,USD,149.9900000000,165.1400000000
2023-07-30T19:38:22Z,USD,299.9900000000,321.7400000000
2023-07-30T21:17:03Z,USD,19.9900000000,21.3900000000
2023-07-30T21:17:03Z,USD,179.9900000000,192.5900000000
2023-07-30T23:16:30Z,USD,149.9900000000,157.9400000000
2023-07-30T23:16:30Z,USD,14.9900000000,0.0000000000
2023-07-31T02:48:12Z,GBP,25.6900000000,25.6900000000
2023-07-31T02:48:12Z,GBP,11.5600000000,11.5600000000
2023-07-31T03:31:43Z,GBP,154.2300000000,308.4600000000
2023-07-31T03:31:43Z,GBP,38.5500000000,38.5500000000
2023-07-31T05:41:35Z,EUR,88.2000000000,88.2000000000
2023-07-31T05:41:35Z,EUR,66.1500000000,66.1500000000
2023-07-31T07:17:24Z,EUR,385.9300000000,347.3400000000
2023-07-31T08:30:53Z,USD,4.9900000000,10.9900000000
2023-07-31T09:35:40Z,USD,299.9900000000,325.1100000000
2023-07-31T09:38:24Z,EUR,385.9300000000,347.3400000000
2023-07-31T10:09:13Z,GBP,115.7400000000,0.0000000000
2023-07-31T10:33:53Z,USD,299.9900000000,295.3100000000
2023-07-31T11:40:05Z,GBP,12.8500000000,12.8500000000
2023-07-31T11:55:35Z,USD,64.9900000000,68.8900000000
2023-07-31T12:36:58Z,USD,299.9900000000,292.2800000000
2023-07-31T13:48:47Z,USD,299.9900000000,291.6000000000
2023-07-31T14:58:27Z,USD,299.9900000000,0.0000000000
2023-07-31T15:37:20Z,USD,149.9900000000,160.6400000000
2023-07-31T16:31:38Z,USD,79.9900000000,88.1900000000
2023-07-31T17:09:32Z,USD,149.9900000000,161.0500000000
2023-07-31T17:19:07Z,USD,49.9900000000,53.1100000000
2023-07-31T21:47:50Z,USD,199.9900000000,213.2400000000
2023-07-31T22:44:23Z,USD,149.9900000000,162.8900000000
2023-08-01T01:53:52Z,USD,99.9900000000,106.9900000000
2023-08-01T02:36:55Z,USD,299.9900000000,287.1500000000
2023-08-01T05:34:03Z,EUR,164.6200000000,164.6200000000
2023-08-01T05:34:03Z,EUR,109.7500000000,219.5000000000
2023-08-01T05:34:03Z,EUR,43.8900000000,87.7800000000
2023-08-01T05:34:03Z,EUR,54.8700000000,54.8700000000
2023-08-01T05:34:03Z,EUR,32.9200000000,32.9200000000
2023-08-01T05:34:03Z,EUR,43.8900000000,43.8900000000
2023-08-01T05:34:03Z,EUR,164.6200000000,164.6200000000
2023-08-01T05:34:25Z,EUR,87.7900000000,87.7900000000
2023-08-01T06:01:41Z,USD,299.9900000000,281.4100000000
2023-08-01T06:08:01Z,USD,199.9900000000,0.0000000000
2023-08-01T06:08:01Z,USD,179.9900000000,0.0000000000
2023-08-01T06:08:01Z,USD,189.9900000000,0.0000000000
2023-08-01T06:08:01Z,USD,149.9900000000,0.0000000000
2023-08-01T06:15:01Z,CAD,9.0300000000,9.0300000000
2023-08-01T09:17:10Z,USD,299.9900000000,320.9900000000
2023-08-01T09:17:10Z,USD,129.9900000000,139.0900000000
2023-08-01T09:21:31Z,USD,299.9900000000,286.2000000000
2023-08-01T09:22:03Z,EUR,384.1400000000,345.7300000000
2023-08-01T09:22:03Z,EUR,219.5000000000,219.5000000000
